batch_id,corp_code,stock_code,corp_name,stock_name,corp_cls,market,induty_code,acc_mt,collected_at
kosdaq_004,01360875,360070,주식회사 탑머티리얼,탑머티리얼,K,KOSDAQ,28202,12,2026-05-08T11:12:21
kosdaq_004,01493793,360350,주식회사 코셈,코셈,K,KOSDAQ,27219,12,2026-05-08T11:12:22
kosdaq_004,01014718,361390,주식회사 제노코,제노코,K,KOSDAQ,26429,12,2026-05-08T11:12:23
kosdaq_004,01303029,361570,주식회사 알비더블유,알비더블유,K,KOSDAQ,59201,12,2026-05-08T11:12:24
kosdaq_004,00405506,361670,주식회사 삼영에스앤씨,삼영에스앤씨,K,KOSDAQ,2629,12,2026-05-08T11:12:27
kosdaq_004,01534577,362320,주식회사 청담글로벌,청담글로벌,K,KOSDAQ,46443,12,2026-05-08T11:12:28
kosdaq_004,01492688,362990,주식회사 드림인사이트,드림인사이트,K,KOSDAQ,71310,12,2026-05-08T11:12:29
kosdaq_004,01437858,363250,주식회사 진시스템,진시스템,K,KOSDAQ,271,12,2026-05-08T11:12:30
kosdaq_004,01493535,363260,(주)모비데이즈,모비데이즈,K,KOSDAQ,713,12,2026-05-08T11:12:31
kosdaq_004,01307593,364950,(주)에이아이코리아,에이아이코리아,K,KOSDAQ,29271,12,2026-05-08T11:12:33
kosdaq_004,01397772,365270,(주)큐라클,큐라클,K,KOSDAQ,70113,12,2026-05-08T11:12:35
kosdaq_004,01135084,365330,에스와이스틸텍(주),에스와이스틸텍,K,KOSDAQ,2511,12,2026-05-08T11:12:36
kosdaq_004,01274329,365340,성일하이텍 주식회사,성일하이텍,K,KOSDAQ,201,12,2026-05-08T11:12:37
kosdaq_004,01505186,365590,(주)하이딥,하이딥,K,KOSDAQ,261,12,2026-05-08T11:12:40
kosdaq_004,01354740,365900,(주)브이씨,브이씨,K,KOSDAQ,3330,12,2026-05-08T11:12:41
kosdaq_004,01307335,366030,주식회사 공구우먼,공구우먼,K,KOSDAQ,144,12,2026-05-08T11:12:42
kosdaq_004,01454341,367000,(주)플래티어,플래티어,K,KOSDAQ,58222,12,2026-05-08T11:12:44
kosdaq_004,01302853,368600,(주)아이씨에이치,아이씨에이치,K,KOSDAQ,262,12,2026-05-08T11:12:51
kosdaq_004,01513440,368770,(주)파이버프로,파이버프로,K,KOSDAQ,27219,12,2026-05-08T11:12:52
kosdaq_004,01491607,368970,주식회사 오에스피,오에스피,K,KOSDAQ,109,12,2026-05-08T11:12:53
kosdaq_004,01508855,369370,(주)블리츠웨이엔터테인먼트,블리츠웨이엔터테인먼트,K,KOSDAQ,901,12,2026-05-08T11:12:55
kosdaq_004,01357446,370090,주식회사 퓨런티어,퓨런티어,K,KOSDAQ,27213,12,2026-05-08T11:12:56
kosdaq_004,00417167,371950,풍원정밀(주),풍원정밀,K,KOSDAQ,262,12,2026-05-08T11:12:57
kosdaq_004,00925374,372170,주식회사 윤성에프앤씨,윤성에프앤씨,K,KOSDAQ,292,12,2026-05-08T11:12:58
kosdaq_004,01492651,372320,주식회사 큐로셀,큐로셀,K,KOSDAQ,70113,12,2026-05-08T11:13:00
kosdaq_004,01429840,372800,주식회사 아이티아이즈,아이티아이즈,K,KOSDAQ,58221,12,2026-05-08T11:13:02
kosdaq_004,01492217,373110,(주)엑셀세라퓨틱스,엑셀세라퓨틱스,K,KOSDAQ,211,12,2026-05-08T11:13:04
kosdaq_004,01455492,373160,(주)데이원컴퍼니,데이원컴퍼니,K,KOSDAQ,85669,12,2026-05-08T11:13:05
kosdaq_004,01497142,373170,엠아이큐브솔루션 주식회사,엠아이큐브솔루션,K,KOSDAQ,58221,12,2026-05-08T11:13:06
kosdaq_004,01514698,373200,(주)엑스플러스,엑스플러스,K,KOSDAQ,339,12,2026-05-08T11:13:07
kosdaq_004,00604028,376180,주식회사 피코그램,피코그램,K,KOSDAQ,339,12,2026-05-08T11:13:12
kosdaq_004,01480708,376270,주식회사 에이치이엠파마,HEM파마,K,KOSDAQ,70111,12,2026-05-08T11:13:14
kosdaq_004,00575106,376290,씨유테크 주식회사,씨유테크,K,KOSDAQ,26224,12,2026-05-08T11:13:15
kosdaq_004,01456011,376300,주식회사 디어유,디어유,K,KOSDAQ,58222,12,2026-05-08T11:13:17
kosdaq_004,01335143,376900,주식회사 로킷헬스케어,로킷헬스케어,K,KOSDAQ,21309,12,2026-05-08T11:13:18
kosdaq_004,01494118,376930,노을 주식회사,노을,K,KOSDAQ,27112,12,2026-05-08T11:13:19
kosdaq_004,01441611,376980,(주)원티드랩,원티드랩,K,KOSDAQ,58221,12,2026-05-08T11:13:20
kosdaq_004,01409095,377030,비트맥스(주),비트맥스,K,KOSDAQ,582,12,2026-05-08T11:13:21
kosdaq_004,01217865,377220,주식회사 프롬바이오,프롬바이오,K,KOSDAQ,108,12,2026-05-08T11:13:23
kosdaq_004,01140837,377330,주식회사 이지트로닉스,이지트로닉스,K,KOSDAQ,2811,12,2026-05-08T11:13:26
kosdaq_004,01210066,377450,주식회사 리파인,리파인,K,KOSDAQ,63991,12,2026-05-08T11:13:28
kosdaq_004,01175499,377460,주식회사 큐에이드,큐에이드,K,KOSDAQ,953,12,2026-05-08T11:13:29
kosdaq_004,01297898,377480,(주)마음에이아이,마음AI,K,KOSDAQ,58222,12,2026-05-08T11:13:30
kosdaq_004,01488320,378340,주식회사 필에너지,필에너지,K,KOSDAQ,29299,12,2026-05-08T11:13:34
kosdaq_004,01387164,378800,주식회사 샤페론,샤페론,K,KOSDAQ,211,12,2026-05-08T11:13:35
kosdaq_004,01506990,380540,주식회사 옵티코어,옵티코어,K,KOSDAQ,266,12,2026-05-08T11:13:41
kosdaq_004,01782004,380550,뉴로핏 주식회사,뉴로핏,K,KOSDAQ,58222,12,2026-05-08T11:13:42
kosdaq_004,01293485,381620,제닉스로보틱스(주),제닉스로보틱스,K,KOSDAQ,29299,12,2026-05-08T11:13:43
kosdaq_004,01423916,382150,주식회사 온코크로스,온코크로스,K,KOSDAQ,70111,12,2026-05-08T11:13:45
kosdaq_004,01311310,382480,주식회사 지아이텍,지아이텍,K,KOSDAQ,292,12,2026-05-08T11:13:46
kosdaq_004,00958327,382800,(주)지앤비에스 에코,지앤비에스 에코,K,KOSDAQ,29271,12,2026-05-08T11:13:47
kosdaq_004,01459212,382840,주식회사 원준,원준,K,KOSDAQ,292,12,2026-05-08T11:13:48
kosdaq_004,01435489,382900,범한퓨얼셀 주식회사,범한퓨얼셀,K,KOSDAQ,28111,12,2026-05-08T11:13:49
kosdaq_004,01566248,383310,주식회사 에코프로에이치엔,에코프로에이치엔,K,KOSDAQ,204,12,2026-05-08T11:13:52
