batch_id,corp_code,stock_code,corp_name,stock_name,corp_cls,market,induty_code,acc_mt,collected_at
kosdaq_001,01934935,0072Z0,케이비제33호기업인수목적(주),KB제33호스팩,K,KOSDAQ,66199,12,2026-05-08T10:10:42
kosdaq_001,00124805,007330,(주)푸른저축은행,푸른저축은행,K,KOSDAQ,64132,12,2026-05-08T10:10:44
kosdaq_001,00150536,007370,진양제약(주),진양제약,K,KOSDAQ,212,12,2026-05-08T10:10:46
kosdaq_001,00117276,007390,(주)네이처셀,네이처셀,K,KOSDAQ,211,12,2026-05-08T10:10:48
kosdaq_001,00140858,007530,(주)와이엠,와이엠,K,KOSDAQ,259,12,2026-05-08T10:10:53
kosdaq_001,00111838,007680,(주)대원,대원,K,KOSDAQ,41112,12,2026-05-08T10:11:02
kosdaq_001,00104810,007720,(주)소노스퀘어,소노스퀘어,K,KOSDAQ,468,12,2026-05-08T10:11:06
kosdaq_001,00267979,007770,한일화학공업(주),한일화학,K,KOSDAQ,201,12,2026-05-08T10:11:07
kosdaq_001,00137915,007820,(주)엠엑스로보틱스,엠엑스로보틱스,K,KOSDAQ,29169,12,2026-05-08T10:11:10
kosdaq_001,00144021,008290,원풍물산(주),원풍물산,K,KOSDAQ,14111,12,2026-05-08T10:11:29
kosdaq_001,01782183,0082N0,(주)카나프테라퓨틱스,카나프테라퓨틱스,K,KOSDAQ,70113,12,2026-05-08T10:11:30
kosdaq_001,00144012,008370,(주)원풍,원풍,K,KOSDAQ,22212,12,2026-05-08T10:11:35
kosdaq_001,00124276,008470,(주)부-스타,부스타,K,KOSDAQ,25130,12,2026-05-08T10:11:40
kosdaq_001,00109310,008830,대동기어(주),대동기어,K,KOSDAQ,292,12,2026-05-08T10:11:55
kosdaq_001,01958111,0088D0,메리츠제1호기업인수목적 (주),메리츠제1호스팩,K,KOSDAQ,66199,12,2026-05-08T10:11:58
kosdaq_001,01780608,0088M0,(주)메쥬,메쥬,K,KOSDAQ,27112,12,2026-05-08T10:11:59
kosdaq_001,01945339,0091W0,신영해피투모로우제11호기업인수목적(주),신영스팩11호,K,KOSDAQ,6619,12,2026-05-08T10:12:14
kosdaq_001,00126788,009300,삼아제약(주),삼아제약,K,KOSDAQ,212,12,2026-05-08T10:12:22
kosdaq_001,01947072,0093G0,미래에셋비전기업인수목적8호 주식회사,미래에셋비전스팩8호,K,KOSDAQ,66199,12,2026-05-08T10:12:28
kosdaq_001,00128111,009520,(주)포스코엠텍,포스코엠텍,K,KOSDAQ,24199,12,2026-05-08T10:12:36
kosdaq_001,00125822,009620,삼보산업 주식회사,삼보산업,K,KOSDAQ,24222,12,2026-05-08T10:12:40
kosdaq_001,01946532,0096B0,삼성기업인수목적12호(주),삼성스팩12호,K,KOSDAQ,64999,12,2026-05-08T10:12:43
kosdaq_001,01946596,0096D0,미래에셋비전기업인수목적9호 주식회사,미래에셋비전스팩9호,K,KOSDAQ,66199,12,2026-05-08T10:12:45
kosdaq_001,00116426,009730,(주)이렘,이렘,K,KOSDAQ,2413,12,2026-05-08T10:12:48
kosdaq_001,00121154,009780,(주)엠에스씨,엠에스씨,K,KOSDAQ,108,12,2026-05-08T10:12:52
kosdaq_001,01949469,0097F0,미래에셋비전기업인수목적10호 주식회사,미래에셋비전스팩10호,K,KOSDAQ,66199,12,2026-05-08T10:12:54
kosdaq_001,01949140,0098T0,교보19호기업인수목적 주식회사,교보19호스팩,K,KOSDAQ,66199,12,2026-05-08T10:12:59
kosdaq_001,01948220,0099W0,미래에셋비전기업인수목적11호 주식회사,미래에셋비전스팩11호,K,KOSDAQ,66199,12,2026-05-08T10:13:03
kosdaq_001,01949584,0099X0,아이비케이에스제25호기업인수목적 주식회사,IBKS제25호스팩,K,KOSDAQ,66199,12,2026-05-08T10:13:05
kosdaq_001,00113261,010170,대한광통신(주),대한광통신,K,KOSDAQ,283,12,2026-05-08T10:13:17
kosdaq_001,01949195,0101C0,하나36호기업인수목적 주식회사,하나36호스팩,K,KOSDAQ,66199,12,2026-05-08T10:13:19
kosdaq_001,00167031,010240,(주)흥국,흥국,K,KOSDAQ,29241,12,2026-05-08T10:13:21
kosdaq_001,00138303,010280,(주)아이티센엔텍,아이티센엔텍,K,KOSDAQ,62021,12,2026-05-08T10:13:22
kosdaq_001,00141671,010470,(주)오리콤,오리콤,K,KOSDAQ,71310,12,2026-05-08T10:13:27
kosdaq_001,01954832,0105P0,유진기업인수목적12호 주식회사,유진스팩12호,K,KOSDAQ,66199,12,2026-05-08T10:13:31
kosdaq_001,00101549,011040,경동제약(주),경동제약,K,KOSDAQ,212,12,2026-05-08T10:13:52
kosdaq_001,00142713,011080,(주)형지아이앤씨,형지I&C,K,KOSDAQ,1419,12,2026-05-08T10:13:58
kosdaq_001,00147152,011320,(주)유니크,유니크,K,KOSDAQ,303,12,2026-05-08T10:14:14
kosdaq_001,00131504,011370,(주)서한,서한,K,KOSDAQ,41112,12,2026-05-08T10:14:17
kosdaq_001,00133876,011560,(주)세보엠이씨,세보엠이씨,K,KOSDAQ,422,12,2026-05-08T10:14:26
kosdaq_001,01957909,0115H0,삼성기업인수목적13호(주),삼성스팩13호,K,KOSDAQ,66199,12,2026-05-08T10:14:28
kosdaq_001,00125664,012210,삼미금속(주),삼미금속,K,KOSDAQ,25912,12,2026-05-08T10:14:58
kosdaq_001,00105040,012340,(주)뉴인텍,뉴인텍,K,KOSDAQ,303,12,2026-05-08T10:15:06
kosdaq_001,00143907,012620,(주)원일특강,원일특강,K,KOSDAQ,24123,12,2026-05-08T10:15:22
kosdaq_001,00117708,012700,(주)리드코프,리드코프,K,KOSDAQ,46712,12,2026-05-08T10:15:29
kosdaq_001,00137058,012790,신일제약(주),신일제약,K,KOSDAQ,212,12,2026-05-08T10:15:34
kosdaq_001,00137234,012860,(주)모베이스전자,모베이스전자,K,KOSDAQ,303,12,2026-05-08T10:15:38
kosdaq_001,01963140,0129K0,신한제18호기업인수목적주식회사,신한제18호스팩,K,KOSDAQ,661,12,2026-05-08T10:15:41
kosdaq_001,00165060,013030,하이록코리아(주),하이록코리아,K,KOSDAQ,241,12,2026-05-08T10:15:44
kosdaq_001,01963520,0130D0,신한제17호기업인수목적 주식회사,신한제17호스팩,K,KOSDAQ,661,12,2026-05-08T10:15:45
kosdaq_001,01965698,0130H0,엔에이치기업인수목적33호(주),엔에이치스팩33호,K,KOSDAQ,661,12,2026-05-08T10:15:48
kosdaq_001,00117966,013120,(주)동원개발,동원개발,K,KOSDAQ,41112,12,2026-05-08T10:15:49
kosdaq_001,01964246,0131D0,키움히어로제2호기업인수목적 주식회사,키움히어로제2호스팩,K,KOSDAQ,66199,12,2026-05-08T10:15:51
kosdaq_001,01985203,0132G0,교보20호기업인수목적 주식회사,교보20호스팩,K,KOSDAQ,649,12,2026-05-08T10:15:55
kosdaq_001,00139083,013310,아진산업(주),아진산업,K,KOSDAQ,303,12,2026-05-08T10:15:56
kosdaq_001,00151605,013720,더큐브앤(주),THE CUBE&,K,KOSDAQ,303,12,2026-05-08T10:16:15
kosdaq_001,00136165,013810,(주)스페코,스페코,K,KOSDAQ,29229,12,2026-05-08T10:16:18
kosdaq_001,00138446,013990,(주)아가방앤컴퍼니,아가방컴퍼니,K,KOSDAQ,46414,12,2026-05-08T10:16:23
kosdaq_001,00267854,014100,메디앙스(주),메디앙스,K,KOSDAQ,468,12,2026-05-08T10:16:26
