batch_id,corp_code,stock_code,corp_name,stock_name,corp_cls,market,induty_code,acc_mt,collected_at
kospi_002,00244455,033780,(주)케이티앤지,케이티앤지,Y,KOSPI,12000,12,2026-05-08T10:24:54
kospi_002,00121543,033920,(주)무학,무학,Y,KOSPI,11122,12,2026-05-08T10:25:00
kospi_002,00159616,034020,두산에너빌리티(주),두산에너빌리티,Y,KOSPI,29119,12,2026-05-08T10:25:02
kospi_002,00130772,034120,(주)SBS,SBS,Y,KOSPI,60210,12,2026-05-08T10:25:04
kospi_002,00105873,034220,엘지디스플레이(주),LG디스플레이,Y,KOSPI,2621,12,2026-05-08T10:25:05
kospi_002,00171265,034230,(주)파라다이스,파라다이스,Y,KOSPI,91249,12,2026-05-08T10:25:06
kospi_002,00158316,034310,(주)NICE홀딩스,NICE,Y,KOSPI,715,12,2026-05-08T10:25:09
kospi_002,00145862,034590,인천도시가스(주),인천도시가스,Y,KOSPI,35200,12,2026-05-08T10:25:11
kospi_002,00181712,034730,SK(주),SK,Y,KOSPI,64992,12,2026-05-08T10:25:15
kospi_002,00233653,034830,(주)한국토지신탁,한국토지신탁,Y,KOSPI,642,12,2026-05-08T10:25:20
kospi_002,00140168,035000,(주)에이치에스애드,HS애드,Y,KOSPI,71310,12,2026-05-08T10:25:23
kospi_002,00122551,035150,(주)백산,백산,Y,KOSPI,22214,12,2026-05-08T10:25:27
kospi_002,00255619,035250,(주)강원랜드,강원랜드,Y,KOSPI,91249,12,2026-05-08T10:25:30
kospi_002,00266961,035420,네이버(주),NAVER,Y,KOSPI,63120,12,2026-05-08T10:25:35
kospi_002,00219486,035510,(주)신세계아이앤씨,신세계I&C,Y,KOSPI,62021,12,2026-05-08T10:25:42
kospi_002,00258801,035720,(주)카카오,카카오,Y,KOSPI,63120,12,2026-05-08T10:25:48
kospi_002,00203315,036420,(주)콘텐트리중앙,콘텐트리중앙,Y,KOSPI,591,12,2026-05-08T10:26:22
kospi_002,00261285,036460,한국가스공사(주),한국가스공사,Y,KOSPI,35200,12,2026-05-08T10:26:23
kospi_002,00225159,036530,(주)SNT홀딩스,SNT홀딩스,Y,KOSPI,64992,12,2026-05-08T10:26:29
kospi_002,00261443,036570,(주)엔씨,NC,Y,KOSPI,582,12,2026-05-08T10:26:34
kospi_002,00260408,036580,(주)팜스코,팜스코,Y,KOSPI,105,12,2026-05-08T10:26:36
kospi_002,00249247,037270,(주)와이지플러스,YG PLUS,Y,KOSPI,631,12,2026-05-08T10:27:23
kospi_002,00222532,037560,(주)엘지헬로비전,LG헬로비전,Y,KOSPI,60222,12,2026-05-08T10:27:40
kospi_002,00220561,037710,(주)광주신세계,광주신세계,Y,KOSPI,47111,12,2026-05-08T10:27:48
kospi_002,00269940,039130,(주)하나투어,하나투어,Y,KOSPI,75210,12,2026-05-08T10:28:44
kospi_002,00296290,039490,키움증권(주),키움증권,Y,KOSPI,66121,12,2026-05-08T10:28:57
kospi_002,00350312,039570,에이치디씨랩스(주),HDC랩스,Y,KOSPI,423,12,2026-05-08T10:29:01
kospi_002,00129642,041650,상신브레이크(주),상신브레이크,Y,KOSPI,303,12,2026-05-08T10:29:50
kospi_002,00111704,042660,한화오션(주),한화오션,Y,KOSPI,3111,12,2026-05-08T10:30:15
kospi_002,00161383,042700,한미반도체(주),한미반도체,Y,KOSPI,29271,12,2026-05-08T10:30:17
kospi_002,00269241,044380,(주)주연테크,주연테크,Y,KOSPI,26310,12,2026-05-08T10:30:57
kospi_002,00160232,044450,(주)케이에스에스 해운,KSS해운,Y,KOSPI,50112,12,2026-05-08T10:30:59
kospi_002,00219574,044820,코스맥스비티아이(주),코스맥스비티아이,Y,KOSPI,64992,12,2026-05-08T10:31:06
kospi_002,00124540,047040,(주)대우건설,대우건설,Y,KOSPI,41112,12,2026-05-08T10:32:01
