"stock_code","corp_code","company_name","induty_code"
"002270","00120508","롯데푸드","10422"
"002290","00127936","삼일기업공사","411"
"002300","00159412","한국제지","1710"
"002310","00138729","아세아제지","172"
"002320","00163512","한진","49309"
"002350","00173874","넥센타이어","221"
"002360","00136457","SH에너지화학","201"
"002380","00105271","케이씨씨","20411"
"002390","00161046","한독","212"
"002410","00122694","범양건영","411"
"002420","00133618","세기상사","477"
"002450","00127857","삼익악기","33201"
"002460","00174527","HS화성","41112"
"002480","00122728","범양사","13213"
"002530","00122922","벽산건설","41112"
"002540","00103325","고제","10895"
"002550","00120216","KB손해보험","65121"
"002600","00149345","조흥","108"
"002620","00148443","제일파마홀딩스","715"
"002630","00141626","오리엔트바이오","212"
"002670","00115472","미주제강","24121"
"002680","00140566","한탑","105"
"002690","00118451","동일제강","24122"
"002700","00173698","신일전자","46521"
"002710","00117300","TCC스틸","24191"
"002720","00104722","국제약품","212"
"002760","00123107","보락","2049"
"002780","00150828","진흥기업","41221"
"002790","00154462","아모레퍼시픽홀딩스","20423"
"002800","00136448","신신제약","212"
"002810","00127167","삼영무역","46739"
"002820","00132211","SUN&L","22232"
"002840","00121932","미원상사","204"
"002850","00141334","영풍산업","06200"
"002860","00130897","하나은행","64121"
"002870","00137368","신풍","467"
"002880","00149804","디와이에이","303"
"002900","00117230","TYM","29210"
"002920","00174004","유성기업","303"
"002930","00125406","삼도물산","46413"
"002950","00115852","두산건설","41221"
"002960","00158149","한국쉘석유","19221"
"002990","00106313","금호건설","41112"
"003000","00123718","부광약품","212"
"003010","00165343","혜인","465"
"003020","00107446","남양","13922"
"003030","00124197","세아제강지주","64992"
"003040","00163044","한일약품공업","21212"
"003050","00110547","링세오코리아","28302"
"003060","00101044","에이프로젠바이오로직스","212"
"003070","00152880","코오롱글로벌","41221"
"003080","00132725","SB성보","2032"
"003090","00111810","대웅","212"
"0030R0","01885222","대신밸류리츠","642"
"003100","00131896","선광","52942"
"003120","00146214","일성아이에스","212"
"003160","00118275","디아이","27212"
"003190","00112004","알앤엘재생의학연구소","21100"
"003200","00146269","일신방직","13101"
"003220","00111999","대원제약","212"
"003230","00126955","삼양식품","108"
"003240","00153393","태광산업","20501"
"003280","00167208","흥아해운","50112"
"003300","00162993","한일홀딩스","23311"
"003310","00112457","대주산업","109"
"003330","00115038","하나IB증권","66121"
"003350","00160621","한국화장품제조","20423"
"003380","00148364","하림지주","64992"
"003410","00138224","쌍용씨앤이","23311"
"003450","00164876","케이비증권","66121"
"003460","00145190","유화증권","66121"
"003470","00117601","유안타증권","66121"
"003480","00163673","한진중공업홀딩스","352"
"003490","00113526","대한항공","511"
"003520","00141149","영진약품","212"
"003530","00148610","한화투자증권","66121"
"003540","00110893","대신증권","66121"
"003550","00120021","LG","64992"
"003560","00154426","아이에이치큐","591"
"003570","00134477","SNT다이내믹스","30331"
"003580","00169048","HLB글로벌","471"
"003590","00103583","광덕물산","14111"
"003600","00144155","SK","64992"
"003610","00122348","방림","132"
"003620","00138242","KG모빌리티","301"
"003640","00140380","유니온스틸","24122"
"003650","00122056","미창석유공업","19221"
"003660","00102821","고려시멘트","23311"
"003670","00155276","포스코퓨처엠","282"
"003680","00161860","한성기업","10211"
"003690","00113191","코리안리","65200"
"003720","00127255","삼영","2221"
"003780","00150439","진양산업","2225"
"0037T0","01902990","KB제32호스팩","66199"
"003800","00140052","에이스침대","32029"
"003830","00113544","대한화섬","20501"
"003850","00123143","보령","212"
"003900","00164292","동원데어리푸드","10421"
"003920","00107598","남양유업","104"
"003930","00124513","부흥","14111"
"003940","00132105","삼양제넥스","108"
"003960","00109718","사조대림","10211"
"003990","00136235","BHK","46800"
"004000","00157681","롯데정밀화학","20119"
"004010","00121729","롯데미도파","47111"
"004020","00145880","현대제철","2411"
"004060","00133511","SG세계물산","46800"
"004080","00173795","신흥","4659"
"004090","00157991","한국석유공업","23999"
"004100","00153755","태양금속공업","303"
"004130","00109170","대덕GDS","2622"
"004140","00115287","동방","529"
"004150","00171636","한솔홀딩스","64992"
"004170","00136378","신세계","47111"
"004190","00147949","스마텔","2629"
"0041B0","01910324","교보18호스팩","66199"
"0041J0","01906552","엘에스스팩1호","661"
"0041L0","01906598","하나35호스팩","66199"
"004200","00102681","고려개발","41221"
"004230","00133928","세신","25931"
"004250","00108038","엔피씨","22232"
"004270","00172185","남성","46799"
"004310","00164706","현대약품","212"
"004320","00144766","호반산업","41221"
"004360","00133812","세방","49301"
"004370","00108241","농심","108"
"004380","00127802","삼익THK","29141"
"004410","00130879","서울식품공업","108"
"004430","00134963","송원산업","20499"
"004440","00109806","삼일씨엔에스","23325"
"004450","00129235","삼화왕관","25991"
"004490","00133858","세방전지","28202"
"0044K0","01910759","삼성스팩10호","66199"
"004510","00117382","디와이홀딩스","29162"
"004530","00151252","에스와이","1090"
"004540","00113492","깨끗한나라","171"
"004550","00161028","대우송도개발","45110"
"004560","00125743","현대비앤지스틸","24122"
"004590","00156442","한국가구","478"
"004620","00128759","캠브리지코오롱","14111"
"004650","00123523","창해에탄올","11121"
"004660","00115427","신동방CP","10520"
"004690","00128555","삼천리","35200"
"004700","00148939","조광피혁","15110"
"004710","00157399","한솔테크닉스","26299"
"004720","00135050","팜젠사이언스","212"
"004740","00123152","보루네오가구","32029"
"004770","00138057","써니전자","262"
"004780","00109587","대륙제관","25991"
"004790","00106492","렉스엘이앤지","26"
"004800","00117188","효성","649"
"004820","00174305","조인에너지","467"
"004830","00114093","덕성","22214"
"004840","00118266","DRB동일","221"
"004870","00109514","티웨이홀딩스","23325"
"004890","00172936","동일산업","24113"
"004910","00148920","조광페인트","20411"
"004920","00127158","씨아이테크","26529"
"004940","00158909","하나은행","64121"
"004960","00162063","한신공영","41112"
"004970","00135962","신라교역","03111"
"004980","00132804","성신양회","23311"
"004990","00120562","롯데지주","64992"
"005010","00156488","휴스틸","2413"
"005030","00124151","부산주공","30310"
"005070","00129989","코스모신소재","204"
"005090","00125150","SGC에너지","351"
"005110","00163716","한창","465"
"005160","00172680","동국산업","24122"
"005180","00124726","빙그레","104"
"005190","00116356","동성화학","201"
"005250","00108135","녹십자홀딩스","715"
"005270","00109019","아이엠뱅크","64121"
"005280","00124106","부산은행","64121"
"005290","00118804","동진쎄미켐","20129"
"005300","00120571","롯데칠성음료","11209"
"005320","00168331","온타이드","46413"
"005330","00106650","카스코","30"
"005350","00123648","심팩인더스트리","29230"
"005360","00121288","모나미","46452"
"005380","00164742","현대자동차","30121"
"005390","00136341","신성통상","467"
"005420","00160302","코스모화학","2049"
"005430","00156691","한국공항","52939"
"005440","00105280","현대지에프홀딩스","64992"
"005450","00173740","신한","41121"
"005490","00155319","POSCO홀딩스","2411"
"0054V0","01931585","엔에이치스팩32호","6619"
"005500","00128412","삼진제약","212"
"005560","00140362","제이에스전선","28302"
"005600","00149840","중앙제지","17105"
"005610","00125530","삼립","108"
"005620","00110495","대성합동지주","715"
"005670","00165103","푸드웰","1030"
